Project Name,Package Name,Type Name,Method Name,Code Smell
frogger-refactoring,aplicacion,Acelerador,ActivatePower,Magic Number
frogger-refactoring,aplicacion,Acelerador,ActivateTrigger,Magic Number
frogger-refactoring,aplicacion,Biker,Biker,Long Parameter List
frogger-refactoring,aplicacion,Biker,ActivateTrigger,Magic Number
frogger-refactoring,aplicacion,Biker,autoMove,Magic Number
frogger-refactoring,aplicacion,Biker,autoMove,Magic Number
frogger-refactoring,aplicacion,Biker,autoMove,Magic Number
frogger-refactoring,aplicacion,Biker,autoMove,Magic Number
frogger-refactoring,aplicacion,Car,Car,Magic Number
frogger-refactoring,aplicacion,Car,Car,Magic Number
frogger-refactoring,aplicacion,Car,Car,Magic Number
frogger-refactoring,aplicacion,Car,Car,Magic Number
frogger-refactoring,aplicacion,Car,autoMove,Magic Number
frogger-refactoring,aplicacion,Car,autoMove,Magic Number
frogger-refactoring,aplicacion,Car,autoMove,Magic Number
frogger-refactoring,aplicacion,Car,autoMove,Magic Number
frogger-refactoring,aplicacion,Car,ActivateTrigger,Magic Number
frogger-refactoring,aplicacion,Carreta,Carreta,Long Parameter List
frogger-refactoring,aplicacion,Carreta,ActivateTrigger,Magic Number
frogger-refactoring,aplicacion,Carreta,autoMove,Magic Number
frogger-refactoring,aplicacion,Carreta,autoMove,Magic Number
frogger-refactoring,aplicacion,Carreta,autoMove,Magic Number
frogger-refactoring,aplicacion,Carreta,autoMove,Magic Number
frogger-refactoring,aplicacion,Collisionable,Collisionable,Long Parameter List
frogger-refactoring,aplicacion,Collisionable,getCollider,Magic Number
frogger-refactoring,aplicacion,Collisionable,getCollider,Magic Number
frogger-refactoring,aplicacion,EventosKeyboard,keyPressed,Complex Method
frogger-refactoring,aplicacion,EventosKeyboard,keyReleased,Complex Method
frogger-refactoring,aplicacion,Fly,ActivatePower,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode1,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode1,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode2,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode2,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode2,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode2,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode2,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode3,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
frogger-refactoring,aplicacion,FroggerManager,GameMode4,Magic Number
